freq_cpp,psd
0.000000,5.076529132763e+01
0.002924,5.186956873841e+02
0.005848,7.891581858680e+01
0.008772,1.322442629823e+01
0.011696,1.266303875139e+01
0.014620,1.196678662374e+01
0.017544,1.065127046487e+01
0.020468,1.042099289027e+01
0.023392,1.039772928961e+01
0.026316,1.008439477308e+01
0.029240,9.871743899025e+00
0.032164,9.828419761117e+00
0.035088,9.712275291034e+00
0.038012,9.542236485399e+00
0.040936,9.440379322306e+00
0.043860,9.352189813027e+00
0.046784,9.217385622548e+00
0.049708,9.087927450467e+00
0.052632,8.982917713169e+00
0.055556,8.859310005051e+00
0.058480,8.718956213409e+00
0.061404,8.591353459625e+00
0.064327,8.463885600875e+00
0.067251,8.319114768855e+00
0.070175,8.172810170097e+00
0.073099,8.032558834318e+00
0.076023,7.883798854332e+00
0.078947,7.726181116258e+00
0.081871,7.571215011973e+00
0.084795,7.415206720158e+00
0.087719,7.250967866374e+00
0.090643,7.084502788677e+00
0.093567,6.919537742312e+00
0.096491,6.750212884374e+00
0.099415,6.576254346294e+00
0.102339,6.403004397942e+00
0.105263,6.229073470617e+00
0.108187,6.051063922732e+00
0.111111,5.871899453118e+00
0.114035,5.693767551299e+00
0.116959,5.513940227331e+00
0.119883,5.332163613857e+00
0.122807,5.151280581824e+00
0.125731,4.970915247059e+00
0.128655,4.789402283021e+00
0.131579,4.608242856402e+00
0.134503,4.428747809818e+00
0.137427,4.249664328266e+00
0.140351,4.070927673039e+00
0.143275,3.894154291449e+00
0.146199,3.719286996962e+00
0.149123,3.545506984613e+00
0.152047,3.373699934669e+00
0.154971,3.204722674467e+00
0.157895,3.038012800742e+00
0.160819,2.873578340972e+00
0.163743,2.712373472108e+00
0.166667,2.554499044157e+00
0.169591,2.399607454787e+00
0.172515,2.248228019438e+00
0.175439,2.100893795676e+00
0.178363,1.957399349579e+00
0.181287,1.817827987601e+00
0.184211,1.682745721324e+00
0.187135,1.552270951120e+00
0.190058,1.426292501662e+00
0.192982,1.305144448544e+00
0.195906,1.189154941222e+00
0.198830,1.078282421050e+00
0.201754,9.726242881428e-01
0.204678,8.724973426909e-01
0.207602,7.780039487372e-01
0.210526,6.891504230946e-01
0.213450,6.061320207812e-01
0.216374,5.291188882402e-01
0.219298,4.581321573859e-01
0.222222,3.932599040073e-01
0.225146,3.346527568687e-01
0.228070,2.823668041260e-01
0.230994,2.364382676339e-01
0.233918,1.969594630819e-01
0.236842,1.639915354504e-01
0.239766,1.375563372562e-01
0.242690,1.176956694301e-01
0.245614,1.044448318476e-01
0.248538,9.781429662371e-02
